X,Y,Original Slide label,Static Predicted Probability,Static predicted zone,LITHOLOGY,LULC11_12,LULC15_16,PANCHAYATH_CODE,PANCHAYATH_NAME,HAND,TPI,ASPEC,DRAIN_DEN,NDBI,NDVI,SPI,TRI,TWI,ELEVATION,PLANCU,PROFCU,RRELIEF,GW_IDW,LINEAMENT_DEN,ROAD_DEN,SLOPE,D_RAINFALL,SOIL_T,SOIL_DEPTH,SOIL_TEXTURE,VILLAGE_BLK
76.98139954,9.508049965,1,0.67100173,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,5,3,2,4,4,3,3,1,9,8,5,5,1,2,4,4,5,2,Very deep,Clay,1
76.98249817,9.516940117,1,0.86840653,very high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,1,9,4,2,2,5,4,4,1,9,4,2,5,1,2,4,5,5,2,Very deep,Clay,1
76.98329926,9.517499924,1,0.67407644,high,Pink Granite Gneiss,Scrub Forest,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,3,6,2,2,4,5,2,2,10,6,6,5,1,2,3,4,5,2,Very deep,Clay,1
76.96549988,9.530670166,1,0.7054102,high,Hornblende Gneiss,Barren Rocky,Barren Rocky,1,Marayoor,1,4,3,2,3,4,4,3,3,9,6,6,5,1,2,3,4,5,2,Very deep,Clay,1
76.96009827,9.531559944,1,0.6845977,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,6,5,2,2,4,1,4,1,9,5,5,3,1,2,4,6,5,2,Very deep,Clay,1
76.99659729,9.553110123,1,0.8358762,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,9,3,1,4,1,3,1,7,3,4,4,1,3,2,5,4,2,Very deep,Clay,1
76.97309875,9.557970047,1,0.67356575,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,3,6,4,2,2,4,3,4,2,2,7,5,2,1,5,1,4,5,2,Very deep,Clay,85
76.99520111,9.55877018,1,0.6955117,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,1,5,2,2,3,4,3,3,2,3,4,6,2,1,5,2,4,5,2,Very deep,Clay,85
76.94329834,9.56595993,0,0.4894947,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,3,6,2,4,3,4,2,2,7,5,6,5,1,5,2,6,4,1,Very deep,Clay,85
76.95030212,9.567760468,1,0.7032379,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,3,5,2,2,5,5,4,4,9,7,6,3,1,2,4,4,5,2,Very deep,Clay,1
76.9980011,9.572090149,1,0.78650004,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,3,7,3,2,3,3,3,3,2,5,7,4,2,1,4,2,2,5,2,Very deep,Clay,85
76.94280243,9.572259903,1,0.53861433,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Barren Rocky,1,Marayoor,3,4,6,2,5,2,4,4,3,7,6,6,4,1,5,1,4,4,1,Very deep,Clay,85
77.09169769,9.572500229,0,0.36609292,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,5,9,1,4,3,3,2,3,2,6,5,2,1,5,1,1,4,1,Very deep,Clay,85
76.94930267,9.572850227,1,0.7412761,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,5,5,2,4,3,1,3,1,9,5,6,4,1,2,3,3,5,2,Very deep,Clay,1
77.06929779,9.60931015,1,0.5602178,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,7,8,2,3,3,2,5,1,6,5,4,3,1,5,3,6,4,1,Very deep,Clay,85
77.14839935,9.611339569,1,0.87153727,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,7,5,2,3,4,1,3,1,8,6,5,3,1,3,1,3,5,2,Very deep,Clay,1
76.91770172,9.618519783,1,0.62323457,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,5,9,2,3,3,4,3,2,6,5,5,4,1,5,2,6,4,1,Very deep,Clay,85
77.16120148,9.621669769,1,0.8218751,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Barren Rocky,1,Marayoor,1,5,5,2,4,3,4,2,3,8,6,5,2,1,2,2,3,5,2,Very deep,Clay,85
77.13809967,9.627679825,0,0.426427,low,Pink Granite Gneiss,Deciduous Forest - Closed,Deciduous Forest - Closed,1,Marayoor,4,7,5,2,5,2,5,2,1,10,7,3,3,1,3,2,4,5,1,Very deep,Clay,1
77.16369629,9.629300117,1,0.85396844,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,5,5,2,4,3,3,3,1,8,7,5,2,1,2,2,1,5,2,Very deep,Clay,85
77.16290283,9.63269043,1,0.84354806,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,4,6,2,1,5,4,2,4,8,8,6,2,1,3,2,6,5,2,Very deep,Clay,85
77.16359711,9.636030197,1,0.79699314,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,5,6,4,2,3,4,5,5,3,7,6,4,2,1,4,1,4,5,2,Very deep,Clay,85
77.16339874,9.637009621,1,0.69873124,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,4,5,5,2,3,4,4,3,2,5,6,5,2,1,5,2,4,5,2,Very deep,Clay,85
77.17079926,9.63778019,1,0.5184771,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,5,2,4,3,2,4,1,3,4,5,2,1,6,1,4,4,2,Very deep,Clay,85
77.16639709,9.64068985,1,0.695521,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,3,6,5,2,3,4,3,3,1,4,5,6,2,1,5,2,2,5,2,Very deep,Clay,85
77.0759964,9.645959854,0,0.4555065,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,8,5,2,4,3,3,4,1,2,4,3,3,1,6,2,2,4,1,Very deep,Clay,85
77.09470367,9.648320198,1,0.5332805,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,2,5,2,5,3,5,3,2,4,7,8,2,1,5,3,5,4,1,Very deep,Clay,85
77.09269714,9.662280083,1,0.6124305,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,4,4,2,3,4,5,3,3,3,5,6,3,1,5,2,3,4,1,Very deep,Clay,85
76.87539673,9.738599777,0,0.3303578,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,3,10,1,4,2,5,2,4,2,7,6,3,1,5,3,4,4,1,Very deep,Clay,85
76.87550354,9.738670349,1,0.55816483,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,4,4,1,3,4,4,4,2,3,7,6,4,1,2,2,4,4,1,Very deep,Clay,85
76.87239838,9.74090004,0,0.3403872,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,4,3,1,3,3,5,3,2,3,4,6,3,1,5,3,2,4,1,Very deep,Clay,85
76.86630249,9.750490189,0,0.32036495,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,8,10,1,4,3,1,4,1,6,8,4,3,1,4,3,6,4,1,Very deep,Clay,85
77.13549805,9.753600121,1,0.8419243,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,2,5,4,2,2,4,4,4,2,6,6,5,3,1,4,1,5,5,2,Very deep,Clay,1
76.86329651,9.754170418,1,0.70092833,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,6,7,2,4,2,3,5,2,9,5,5,4,1,1,2,5,4,1,Very deep,Clay,1
76.83640289,9.763759613,0,0.3968195,low,Pink Granite Gneiss,Barren Rocky,Barren Rocky,1,Marayoor,1,5,4,1,4,3,3,2,2,8,5,6,3,1,1,2,6,4,1,Very deep,Clay,85
76.88069916,9.767410278,1,0.53145164,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,8,6,2,4,3,2,4,1,3,7,4,4,1,6,3,6,4,1,Very deep,Clay,85
77.12830353,9.768429756,0,0.40763682,low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,3,5,4,1,4,3,4,5,2,10,3,5,3,1,1,2,3,5,1,Very deep,Clay,1
76.86119843,9.769490242,1,0.7735279,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,4,7,3,2,3,4,2,4,1,7,7,4,2,1,3,1,3,5,2,Very deep,Clay,1
76.83519745,9.770460129,0,0.3966089,low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,7,6,1,4,2,3,3,2,8,6,4,3,1,1,2,4,4,1,Very deep,Clay,85
77.13349915,9.770979881,1,0.5681669,high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,1,3,9,1,2,4,4,4,3,10,4,7,3,1,1,2,1,5,2,Very deep,Clay,1
76.82749939,9.772709846,0,0.27848354,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,8,1,4,3,3,3,2,2,5,5,2,1,2,3,2,4,2,Very deep,Clay,85
77.08360291,9.775859833,1,0.5449419,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,5,5,2,4,3,4,4,2,2,7,5,3,1,6,1,6,4,2,Very deep,Clay,85
76.85649872,9.777420044,1,0.89206886,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,5,2,4,3,3,5,2,8,6,5,3,1,2,1,2,5,2,Very deep,Clay,1
76.84989929,9.779720306,0,0.4185059,low,Hornblende Gneiss,Barren Rocky,Barren Rocky,1,Marayoor,3,8,8,1,4,1,3,4,1,5,6,4,3,1,3,3,5,4,1,Very deep,Clay,85
77.2111969,9.788430214,1,0.61499465,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,7,4,2,4,3,3,4,2,9,4,4,3,1,1,2,4,4,1,Very deep,Clay,1
77.08529663,9.78993988,1,0.80156374,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,3,6,5,2,3,4,2,5,2,7,5,5,3,1,3,1,2,5,2,Very deep,Clay,1
77.06500244,9.793410301,0,0.42481217,low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,6,5,1,5,2,3,3,2,10,6,5,3,1,1,2,2,5,2,Very deep,Clay,1
77.06079865,9.794400215,1,0.5428443,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,7,8,2,3,3,1,4,1,3,7,4,3,1,6,1,4,4,2,Very deep,Clay,85
77.08139801,9.794839859,1,0.66836077,high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,4,5,6,2,2,3,4,4,2,9,5,5,3,1,1,3,5,5,2,Very deep,Clay,1
76.82089996,9.796879768,0,0.34548897,low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,6,3,1,4,3,3,3,2,2,5,5,2,1,2,2,3,4,2,Very deep,Clay,85
77.19259644,9.796919823,1,0.62179923,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,6,8,2,4,3,2,3,1,9,4,5,3,1,1,1,4,4,1,Very deep,Clay,1
77.10900116,9.798939705,1,0.6815496,high,Pink Granite Gneiss,Scrub Forest,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,5,6,4,2,5,2,1,5,1,10,6,5,7,1,1,4,5,5,2,Very deep,Clay,1
76.84770203,9.802669525,0,0.38697916,low,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,6,2,1,3,4,2,3,1,7,7,5,4,1,1,1,3,4,1,Very deep,Clay,85
77.07969666,9.805419922,1,0.7423594,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,4,5,2,5,3,5,3,3,9,4,5,4,1,2,4,4,5,2,Very deep,Clay,1
77.15129852,9.805850029,1,0.8034992,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,5,5,2,3,4,1,4,1,6,6,5,4,1,4,3,2,5,2,Very deep,Clay,85
77.15019989,9.807060242,1,0.84238863,very high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,1,6,4,2,4,3,1,3,1,7,5,4,3,1,4,2,3,5,2,Very deep,Clay,85
77.09999847,9.809430122,1,0.72358125,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Open,Evergreen / Semi Evergreen Forest - Open,1,Marayoor,2,5,4,2,3,4,3,3,1,3,5,5,3,1,5,1,4,5,2,Very deep,Clay,1
77.10649872,9.810379982,1,0.7024691,high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,1,2,5,2,5,3,5,3,2,10,7,8,7,1,1,3,3,5,2,Very deep,Clay,85
77.10099792,9.810480118,1,0.86703974,very high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,2,5,4,2,1,5,4,4,3,9,7,5,4,1,2,4,4,5,2,Very deep,Clay,1
77.09980011,9.810799599,1,0.74716574,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,4,8,4,2,5,3,4,4,1,10,6,2,4,1,2,4,5,5,2,Very deep,Clay,1
77.09989929,9.810810089,1,0.83774984,very high,Pink Granite Gneiss,Scrub Forest,Grassland - Temperate / Sub Tropical,1,Marayoor,4,5,8,2,2,4,3,3,2,10,8,6,5,1,2,3,6,5,2,Very deep,Clay,1
77.10639954,9.810830116,1,0.6601069,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,5,4,2,1,4,5,3,2,10,4,5,5,1,1,3,4,5,1,Very deep,Clay,85
77.09940338,9.810930252,1,0.5342242,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,1,5,5,2,1,5,3,3,1,9,7,6,6,1,1,3,4,5,2,Very deep,Clay,85
77.07810211,9.811019897,1,0.5831092,high,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,1,Marayoor,2,8,5,2,4,3,4,3,2,3,7,2,2,1,6,1,3,4,2,Very deep,Clay,85
77.09850311,9.811180115,1,0.5499475,high,Pink Granite Gneiss,Evergreen / Semi Evergreen Forest - Open,Barren Rocky,1,Marayoor,1,6,4,2,1,5,2,2,1,9,7,5,5,1,1,2,5,5,2,Very deep,Clay,85
76.85089874,9.811710358,0,0.42870966,low,Hornblende Gneiss,River - Perennial,River - Perennial,1,Marayoor,1,6,5,1,4,3,2,1,2,2,7,5,3,1,2,2,1,4,2,Very deep,Clay,85
